qname	SC5314	target2
orf19.1711	C3_01400W_A	END3
orf19.3066	C1_03680W_A	ENG1
orf19.395	C1_08500C_A	ENO1
orf19.5507	C7_03700C_A	ENP1
orf19.6686	C7_03540C_A	ENP2
orf19.1553	C2_02340C_A	ENT3
orf19.7164	C7_04110W_A	ENV7
orf19.7529	CR_00100C_A	EPL1
orf19.1047	C1_04130W_A	ERB1
orf19.5065	C1_07930C_A	ERD1
orf19.3541	C2_05100C_A	ERF1
orf19.406	C1_08590C_A	ERG1
orf19.1591	C2_04310W_A	ERG10
orf19.922	C5_00660C_A	ERG11
orf19.4809	C1_09460W_A	ERG12
orf19.7312	CR_09160C_A	ERG13
orf19.6026	C1_00800C_A	ERG2
orf19.4491	C2_04580W_A	ERG20
orf19.1598	C2_09400C_A	ERG24
orf19.3732	CR_02370W_A	ERG25
orf19.4631	C4_01530C_A	ERG251
orf19.2909	C4_06270C_A	ERG26
orf19.3240	CR_01140C_A	ERG27
orf19.2016	C2_01090C_A	ERG28
orf19.767	C1_04770C_A	ERG3
orf19.5379	C3_00760W_A	ERG4
orf19.5178	C7_02840C_A	ERG5
orf19.1631	C3_02150C_A	ERG6
orf19.1570	C2_02460W_A	ERG7
orf19.4606	C4_01870C_A	ERG8
orf19.3616	C2_08610W_A	ERG9
orf19.5814	C2_02900W_A	ERI1
orf19.4871	C1_10040W_A	ERO1
orf19.2322.3	C1_10940C_A	ERP5
orf19.2863.1	CR_03010C_A	ERV1
orf19.7409	C3_06250W_A	ERV25
orf19.4579	C4_02120W_A	ERV29
orf19.586	C5_00830C_A	ERV46
orf19.5416	C3_00490W_A	ESA1
orf19.1445	C2_01400C_A	ESC4
orf19.3356	C1_01670C_A	ESP1
orf19.5196	C1_04410C_A	ESS1
orf19.4045	C5_05470W_A	EST1
orf19.5423	C3_00430W_A	EST3
orf19.5450	C3_00200C_A	ETR1
orf19.2952	C1_02630C_A	EXG2
orf19.3116	C4_06930C_A	EXM2
orf19.926	C5_00630C_A	EXO1
orf19.6512	C7_02050C_A	EXO70
orf19.135	C6_01280W_A	EXO84
orf19.7379	C3_05980C_A	FAA2
orf19.4114	C2_06070W_A	FAA2-1
orf19.7156	C7_04180W_A	FAA2-3
orf19.272	C3_02810C_A	FAA21
orf19.7592	CR_10160W_A	FAA4
orf19.1513	C2_01990C_A	FAB1
orf19.4723	C1_08650C_A	FAD1
orf19.118	C6_01110W_A	FAD2
orf19.4933	C1_13070C_A	FAD3
orf19.2488	C1_05640C_A	FAL1
orf19.7105	C7_00180W_A	FAR1
orf19.979	C5_00190C_A	FAS1
orf19.5949	C3_04830C_A	FAS2
orf19.3653	C6_00740W_A	FAT1
orf19.3801	C4_04790W_A	FAV1
orf19.1120	C5_03750W_A	FAV2
orf19.1914	C2_00080C_A	FAV3
orf19.4618	C4_01750C_A	FBA1
orf19.6178	C3_07830W_A	FBP1
orf19.4195.1	C6_00620W_A	FCA1
orf19.6817	C3_06850W_A	FCR1
orf19.3193	C5_01810W_A	FCR3
orf19.333	C3_03360W_A	FCY2
orf19.1357	C2_09950W_A	FCY21
orf19.1832	C1_10610W_A	FCY23
orf19.7331	CR_09360W_A	FCY24
orf19.638	CR_05170C_A	FDH1
orf19.7600	CR_10250C_A	FDH3
orf19.6343	C1_12790C_A	FEN1
orf19.908	C2_03230C_A	FEN12
orf19.6794	C3_07060W_A	FESUR1
orf19.4213	C6_00460C_A	FET3
orf19.4211	C6_00480C_A	FET31
orf19.943	C5_00460C_A	FET33
orf19.4215	C6_00440C_A	FET34
orf19.4212	C6_00470C_A	FET99
orf19.3791	C4_04880W_A	FGR10
orf19.5479	C2_06180C_A	FGR12
orf19.562	CR_05250C_A	FGR13
orf19.559	CR_05240C_A	FGR14
orf19.2054	C2_00720C_A	FGR15
orf19.2303	C1_11130W_A	FGR16
orf19.5729	C6_03610W_A	FGR17
orf19.4067	C2_09080C_A	FGR18
orf19.7071	C7_00480W_A	FGR2
orf19.1586	C2_02600C_A	FGR22
orf19.1616	C3_02300W_A	FGR23
orf19.7275	C1_14570C_A	FGR24
orf19.6680	C5_03680W_A	FGR27
orf19.1596	C4_03910W_A	FGR28
orf19.5316	C2_10430C_A	FGR29
orf19.3845	C4_04420W_A	FGR3
orf19.593	CR_08030C_A	FGR32
orf19.7579	CR_10030W_A	FGR34
orf19.3413	C6_01730W_A	FGR37
orf19.4549	C1_01760W_A	FGR38
orf19.679	C1_11230W_A	FGR39
orf19.4910	C1_10400C_A	FGR41
orf19.3209	C5_04020C_A	FGR42
orf19.4786	C1_09270W_A	FGR43
orf19.5967	C3_04990W_A	FGR44
orf19.7557	CR_09850C_A	FGR46
orf19.3429	C6_01570C_A	FGR47
orf19.3884	CR_06300C_A	FGR50
orf19.156	C2_04720C_A	FGR51
orf19.5191	C7_02750W_A	FGR6-1
orf19.1234	C4_05530W_A	FGR6-10
orf19.4712	C1_07770W_A	FGR6-3
orf19.3490	C2_10420W_A	FGR6-4
orf19.2236	C2_06830C_A	FHL1
orf19.138	C6_01310W_A	FIG1
orf19.5389	C3_00670C_A	FKH2
orf19.2501	C3_00980W_A	FLC1
orf19.1813	CR_07100W_A	FLC2
orf19.2198	C2_07830W_A	FLC3
orf19.1093	C6_04350C_A	FLO8
orf19.5404.1	C3_00580W_A	FLO9
orf19.6577	C7_01520W_A	FLU1
orf19.6837	C1_04450C_A	FMA1
orf19.1523	C2_02060C_A	FMO1
orf19.857	C2_03610W_A	FMO2
orf19.3422	C6_01650C_A	FMP27
orf19.6489	C7_02240W_A	FMP45
orf19.4418	C4_06070C_A	FMT1
orf19.579	C5_00770C_A	FOL1
orf19.1288	C3_00810C_A	FOX2
orf19.1704	C3_01460C_A	FOX3
orf19.3402	C6_01820C_A	FPG1
orf19.1415	C4_04320W_A	FRE10
orf19.1270	C4_05840W_A	FRE3
orf19.6140	CR_07280W_A	FRE30
orf19.6139	CR_07290W_A	FRE7
orf19.3538	C2_05070W_A	FRE9
orf19.5634	C4_00110C_A	FRP1
orf19.7112	C7_00100W_A	FRP2
orf19.1224	C2_06680W_A	FRP3
orf19.3440	C6_01440C_A	FRP5
orf19.3441	C6_01430C_A	FRP6
orf19.2573	CR_01760C_A	FRS1
orf19.2960	C1_02710W_A	FRS2
orf19.4802	C1_09400C_A	FTH1
orf19.3227	CR_01270C_A	FTH2
orf19.7219	C1_14130W_A	FTR1
orf19.7231	C1_14220C_A	FTR2
orf19.543	CR_04530W_A	FUM11
orf19.6724	C3_07640C_A	FUM12
orf19.5081	C1_08090C_A	FUN12
orf19.7451	C3_06620W_A	FUN31
orf19.2640	C5_03390C_A	FUR1
orf19.360	C3_03610W_A	FUR4
orf19.1156	C1_11630C_A	FUS1
orf19.4143	C5_01480W_A	FYV5
orf19.1422	C4_04260C_A	FZO1
orf19.7053	C7_00660W_A	GAC1
orf19.1153	C1_11660W_A	GAD1
orf19.3670	C1_02130C_A	GAL1
orf19.3672	C1_02150W_A	GAL10
orf19.3674	C1_02170C_A	GAL102
orf19.5338	C2_10590W_A	GAL4
orf19.3675	C1_02180W_A	GAL7
orf19.4304	C5_02790C_A	GAP1
orf19.6993	C3_05580C_A	GAP2
orf19.4456	C1_07120W_A	GAP4
orf19.1799	C4_05430C_A	GAP5
orf19.6659	C5_03500W_A	GAP6
orf19.1164	C1_11550W_A	GAR1
orf19.1275	C4_05880W_A	GAT1
orf19.7076	C7_00440C_A	GBP2
orf19.4899	C1_10290W_A	GCA1
orf19.999	C1_10550C_A	GCA2
orf19.481	CR_03990C_A	GCD1
orf19.4223	C5_02170C_A	GCD11
orf19.6776	C3_07250W_A	GCD2
orf19.407	C1_08600C_A	GCD6
orf19.825	C2_03990W_A	GCD7
orf19.400	C1_08550C_A	GCF1
orf19.5328	C2_10550C_A	GCN1
orf19.6913	C7_01330C_A	GCN2
orf19.6060	C1_00480C_A	GCN20
orf19.6904	C7_01220W_A	GCN3
orf19.1358	C2_09940W_A	GCN4
orf19.705	CR_06710C_A	GCN5
orf19.387	C1_08420W_A	GCR3
orf19.5059	C1_07880C_A	GCS1
orf19.5519	C6_02500C_A	GCV1
orf19.385	C1_08400C_A	GCV2
orf19.5006	C1_13680C_A	GCV3
orf19.6757	C3_07340W_A	GCY1
orf19.7394	C3_06120C_A	GDA1
orf19.744	C4_05140C_A	GDB1
orf19.3936	C5_04510W_A	GDE1
orf19.2192	C2_07900W_A	GDH2
orf19.4716	C4_06120W_A	GDH3
orf19.7261	C1_14440C_A	GDI1
orf19.1963	C5_01080C_A	GDS1
orf19.4496	C2_04540C_A	GDT1
orf19.1712	C3_01390C_A	GEA2
orf19.3734	CR_02350C_A	GEF2
orf19.6016	C1_00890W_A	GEM1
orf19.1618	C3_02280C_A	GFA1
orf19.3006	C1_03130C_A	GGA2
orf19.1066	C1_04310C_A	GIG1
orf19.2471	C1_05810W_A	GIM5
orf19.658	C1_11440C_A	GIN1
orf19.663	C1_11400C_A	GIN4
orf19.6587	C7_01420W_A	GIR2
orf19.3182	C5_01910W_A	GIS2
orf19.34	C2_06590C_A	GIT1
orf19.1978	C5_00890C_A	GIT2
orf19.1979	C5_00880C_A	GIT3
orf19.1980	C5_00870C_A	GIT4
orf19.5622	C6_03340C_A	GLC3
orf19.6285	CR_07650W_A	GLC7
orf19.2215	C2_07670C_A	GLE1
orf19.1095	C6_04360C_A	GLE2
orf19.7434	C3_06450W_A	GLG2
orf19.734	CR_07150W_A	GLK1
orf19.6116	CR_07490C_A	GLK4
orf19.646	CR_05050W_A	GLN1
orf19.3912	C5_04280C_A	GLN3
orf19.7064	C7_00550C_A	GLN4
orf19.6058	C1_00500C_A	GLO1
orf19.4088	C2_09260C_A	GLO2
orf19.5445	C3_00240C_A	GLO3
orf19.4147	C5_01520C_A	GLR1
orf19.6257	C1_06550W_A	GLT1
orf19.251	C3_02610C_A	GLX3
orf19.986	C1_10450W_A	GLY1
orf19.837	C2_03870W_A	GNA1
orf19.5024	C1_13860C_A	GND1
orf19.1193	C6_00330C_A	GNP1
orf19.7565	CR_09910W_A	GNP3
orf19.3818	C4_04640C_A	GOA1
orf19.2989	C1_02980W_A	GOR1
orf19.1621	C3_02240C_A	GPA2
orf19.1756	C2_10240W_A	GPD1
orf19.691	C6_02010C_A	GPD2
orf19.7021	C7_00930W_A	GPH1
orf19.6977	C3_05390C_A	GPI1
orf19.832	C2_03920C_A	GPI13
orf19.4581	C4_02100C_A	GPI14
orf19.2529	CR_01430W_A	GPI15
orf19.3557	C2_05280C_A	GPI19
orf19.538	CR_04470W_A	GPI2
orf19.4064	C1_05070C_A	GPI7
orf19.2799	C1_07460C_A	GPI8
orf19.903	C2_03270W_A	GPM1
orf19.1067	C1_04320W_A	GPM2
orf19.1944	C5_01250W_A	GPR1
orf19.4063	C1_05080W_A	GPT1
orf19.87	C6_00860W_A	GPX1
orf19.85	C6_00840W_A	GPX2
orf19.4436	C1_07350C_A	GPX3
orf19.3150	C2_06720W_A	GRE2
orf19.4317	C5_02930C_A	GRE3
orf19.4000	C5_05080W_A	GRF10
orf19.4781	C1_09230C_A	GRP1
orf19.4309	C5_02860C_A	GRP2
orf19.3944	C5_04600C_A	GRR1
orf19.437	C1_05290W_A	GRS1
orf19.6510	C7_02070W_A	GRX1
orf19.2727	C4_02710C_A	GRX3
orf19.2929	C1_02420C_A	GSC1
orf19.3764	C1_12520W_A	GSG1
orf19.6404	CR_08370W_A	GSH2
orf19.2495	C1_05600W_A	GSL1
orf19.3269	CR_00850C_A	GSL2
orf19.5493	C2_06310C_A	GSP1
orf19.3121	C4_06900W_A	GST1
orf19.2693	C4_02990C_A	GST2
orf19.720	CR_06460W_A	GST3
orf19.3278	CR_00780C_A	GSY1
orf19.3617	C2_08600W_A	GTR1
orf19.6998	C3_05630W_A	GTT1
orf19.6947	C3_03720W_A	GTT11
orf19.359	C3_03600C_A	GTT12
orf19.356	C3_03580C_A	GTT13
orf19.4813	C1_09490C_A	GUA1
orf19.1115	C5_03790W_A	GUK1
orf19.4985	C1_13540W_A	GUP1
orf19.7057	C7_00620W_A	GUS1
orf19.558	CR_05220C_A	GUT1
orf19.3133	C4_06760W_A	GUT2
orf19.1236	C4_05550C_A	GVP36
orf19.6884	C2_05730C_A	GWT1
orf19.3811	C4_04710W_A	GYP1
orf19.1244	C4_05600W_A	GYP2
orf19.5340	C2_10610W_A	GYP5
orf19.6706	C7_03490W_A	GYP7
orf19.4315	C5_02910C_A	GYP8
orf19.2842	CR_02850C_A	GZF3
orf19.2432	C1_06130C_A	HAC1
orf19.6249	C1_06610C_A	HAK1
orf19.99	C6_00970C_A	HAL21
orf19.105	C6_01030W_A	HAL22
orf19.7378	C3_05970C_A	HAL3
orf19.3190	C5_01830C_A	HAL9
orf19.1108	C5_03860W_A	HAM1
orf19.1228	C1_07680W_A	HAP2
orf19.4647	C4_01390W_A	HAP3
orf19.517	CR_04290W_A	HAP31
orf19.740	C4_05110C_A	HAP41
orf19.1481	C2_01700C_A	HAP42
orf19.681	C1_11210C_A	HAP43
orf19.1973	C5_00940C_A	HAP5
orf19.3962	C5_04750C_A	HAS1
orf19.779	C1_04670W_A	HAT1
orf19.2146	C6_04540C_A	HAT2
orf19.6074	C1_00340W_A	HBR1
orf19.1078	C6_04220C_A	HBR2
orf19.6955	C3_03650W_A	HBR3
orf19.2712	C4_02830C_A	HCA4
orf19.3396	C6_01860C_A	HCH1
orf19.4853	C1_09870W_A	HCM1
orf19.7613	CR_10370W_A	HCR1
orf19.2606	CR_02050C_A	HDA1
orf19.2601	CR_02000C_A	HEM1
orf19.2803	C3_04060C_A	HEM13
orf19.4747	C1_08880W_A	HEM14
orf19.1880	C2_07490W_A	HEM15
orf19.898	C2_03300W_A	HEM2
orf19.1742	C2_10360C_A	HEM3
orf19.1744	C2_10340W_A	HEM4
orf19.6327	C6_00100C_A	HET1
orf19.6673	C5_03610W_A	HEX1
orf19.1542	C2_02240C_A	HEX3
orf19.3063	C1_03640C_A	HFL1
orf19.2736	C4_02630C_A	HFL2
orf19.6028	C1_00780C_A	HGC1
orf19.4587	C4_02050W_A	HGH1
orf19.4527	C1_01980W_A	HGT1
orf19.5753	C6_03790C_A	HGT10
orf19.7094	C7_00280W_A	HGT12
orf19.7093	C7_00290C_A	HGT13
orf19.2633	CR_07730W_A	HGT14
orf19.6141	CR_07270C_A	HGT16
orf19.4682	C4_01070W_A	HGT17
orf19.2425	CR_03040C_A	HGT18
orf19.5447	C3_00220W_A	HGT19
orf19.3668	C1_02110C_A	HGT2
orf19.1587	C2_02610C_A	HGT20
orf19.4356	CR_03850W_A	HGT3
orf19.5962	C3_04930C_A	HGT4
orf19.6005	C3_05270C_A	HGT5
orf19.2020	C2_01020W_A	HGT6
orf19.2023	C2_01000W_A	HGT7
orf19.2021	C2_01010W_A	HGT8
orf19.644	CR_05090C_A	HGT9
orf19.1059	C1_04240C_A	HHF1
orf19.1854	CR_06800C_A	HHF22
orf19.5137.1	C7_03180C_A	HHO1
orf19.6791	C3_07090W_A	HHT1
orf19.1853	CR_06810W_A	HHT2
orf19.1061	C1_04260W_A	HHT21
orf19.3195	C5_01800C_A	HIP1
orf19.2099	C2_00330C_A	HIR1
orf19.4026	C5_05320C_A	HIS1
orf19.183	C2_04810W_A	HIS3
orf19.5639	C4_00140C_A	HIS4
orf19.4177	C4_00650W_A	HIS5
orf19.5505	C7_03720C_A	HIS7
orf19.2723	C4_02750W_A	HIT1
orf19.7175	C7_04050W_A	HLJ1
orf19.2115	C2_00170C_A	HMA1
orf19.1031	C1_03780C_A	HMG1
orf19.7661	CR_10720W_A	HMI1
orf19.6645	CR_05670C_A	HMO1
orf19.921	C5_00670C_A	HMS1
orf19.3291	C1_01030W_A	HMT1
orf19.6073	C1_00350C_A	HMX1
orf19.2003	C2_01210C_A	HNM1
orf19.2587	CR_01900C_A	HNM3
orf19.2946	C1_02580W_A	HNM4
orf19.2341	C1_10780C_A	HNT1
orf19.7419	C3_06340W_A	HNT2
orf19.3445	C6_01390W_A	HOC1
orf19.5664	C4_00370W_A	HOF1
orf19.895	C2_03330C_A	HOG1
orf19.2991	C1_03000W_A	HOL1
orf19.4546	C1_01780C_A	HOL4
orf19.1559	C2_02370C_A	HOM2
orf19.1235	C4_05540W_A	HOM3
orf19.2951	C1_02620C_A	HOM6
orf19.4411	C4_06010C_A	HOS1
orf19.5377	C3_00780W_A	HOS2
orf19.2772	C4_02300W_A	HOS3
orf19.3328	C1_01390C_A	HOT1
orf19.6323	C6_00140C_A	HPA2
orf19.5035	C1_13970C_A	HPC2
orf19.5565	C6_02890C_A	HPD1
orf19.5832	C2_02740C_A	HPT1
orf19.5408	C3_00550C_A	HRK1
orf19.5037	C4_03820C_A	HRQ2
orf19.3476	C6_02340W_A	HRR25
orf19.233.1	C3_02450W_A	HRT1
orf19.4624	C4_01690C_A	HRT2
orf19.3233	CR_01210C_A	HSE1
orf19.1482	C2_01710W_A	HSK3
orf19.4308	C5_02840C_A	HSL1
orf19.1331	C7_03450C_A	HSM3
orf19.6387	CR_08250C_A	HSP104
orf19.3160	C5_02080C_A	HSP12
orf19.822	C2_04010C_A	HSP21
orf19.4526	C1_01990W_A	HSP30
orf19.3664	C1_02070W_A	HSP31
orf19.717	CR_06490C_A	HSP60
orf19.4980	C1_13480W_A	HSP70
orf19.882	C2_03390C_A	HSP78
orf19.6515	C7_02030W_A	HSP90
orf19.4761	C1_09050W_A	HST1
orf19.2580	CR_01800C_A	HST2
orf19.1934	C5_01340W_A	HST3
orf19.7440	C3_06510C_A	HST6
orf19.469	CR_03900W_A	HST7
orf19.4592	C4_02010C_A	HSX11
orf19.6924	C3_03910W_A	HTA1
orf19.1051	C1_04170C_A	HTA2
orf19.327	C3_03280C_A	HTA3
orf19.6925	C3_03900C_A	HTB1
orf19.4051	C5_05490C_A	HTS1
orf19.6803	C3_06980W_A	HUT1
orf19.1321	C4_03570W_A	HWP1
orf19.3380	C4_03510C_A	HWP2
orf19.2154	C6_04580W_A	HXK1
orf19.542	CR_04510W_A	HXK2
orf19.4384	CR_03450W_A	HXT5
orf19.796	C2_04240C_A	HYM1
orf19.4975	C1_13450W_A	HYR1
orf19.575	C5_00730W_A	HYR3
orf19.3279	CR_00760C_A	HYR4
orf19.3960	C5_04740C_A	HYS2
orf19.5804	C2_02990C_A	HYU1
orf19.7667	CR_10780C_A	IAH1
orf19.6844	C1_04500W_A	ICL1
orf19.4826	C1_09630W_A	IDH1
orf19.5791	C2_03080W_A	IDH2
orf19.2775	C4_02280W_A	IDI1
orf19.5211	C2_05890C_A	IDP1
orf19.3733	CR_02360W_A	IDP2
orf19.7550	CR_09780C_A	IFA14
orf19.5138	C7_03170W_A	IFA21
orf19.4510	C2_04420W_A	IFA4
orf19.3311	C1_01240W_A	IFD3
orf19.1048	C1_04140W_A	IFD6
orf19.769	C1_04750W_A	IFE1
orf19.5288	CR_05340C_A	IFE2
orf19.5399	C3_00600W_A	IFF11
orf19.4361	CR_03630W_A	IFF3
orf19.7472	CR_00610W_A	IFF4
orf19.2879	C4_06550C_A	IFF5
orf19.4072	C2_09130C_A	IFF6
orf19.570	C5_00710W_A	IFF8
orf19.465	CR_03880W_A	IFF9
orf19.944	C5_00450C_A	IFG3
orf19.4282	C5_02650C_A	IFH1
orf19.4482	C1_04060W_A	IFI3
orf19.856	C2_03620W_A	IFK2
orf19.5167	C7_02940C_A	IFM1
orf19.2176	C2_08080C_A	IFM3
orf19.1763	C2_10180W_A	IFR1
orf19.2396	CR_03280W_A	IFR2
orf19.2568	CR_01730W_A	IFU5
orf19.5760	C6_03850C_A	IHD1
orf19.6021	C1_00850W_A	IHD2
orf19.2138	C6_04520W_A	ILS1
orf19.5480	C2_06190W_A	ILV1
orf19.1613	C3_02320W_A	ILV2
orf19.4040	C5_05410C_A	ILV3
orf19.88	C6_00870C_A	ILV5
orf19.4650	C4_01370W_A	ILV6
orf19.2395	CR_03290C_A	IME2
orf19.3777	C4_05020W_A	IMG2
orf19.18	C2_06390C_A	IMH3
orf19.2949	C1_02610W_A	IML1
orf19.7229	C1_14210C_A	IML2
orf19.3061	C1_03610C_A	IMP1
orf19.1981	C5_00860W_A	IMP2
orf19.603	CR_07950W_A	IMP4
orf19.2832	CR_02740W_A	INN1
orf19.7585	CR_10100C_A	INO1
orf19.7539	CR_00050W_A	INO2
orf19.837.1	C2_03840C_A	INO4
orf19.1373	C2_09770C_A	INP51
orf19.4257	C5_02470W_A	INT1
orf19.1439	C4_03330W_A	IPK1
orf19.1377	C2_09730C_A	IPK2
orf19.3474	C6_02320C_A	IPL1
orf19.3590	C2_08810C_A	IPP1
orf19.4769	C1_09120W_A	IPT1
orf19.6536	C7_01840W_A	IQG1
orf19.5219	C1_12450C_A	IRA2
orf19.5068	C1_07970C_A	IRE1
orf19.1715	C3_01360C_A	IRO1
orf19.7232	C1_14230C_A	IRR1
orf19.6953	C3_03660W_A	IRS4
orf19.5521	C6_02520W_A	ISA1
orf19.6811	C3_06900W_A	ISA2
orf19.6629	CR_05830C_A	ISC1
orf19.3355	C1_01650W_A	ISN1
orf19.5409	C3_00540C_A	IST1
orf19.2792	C1_07520C_A	IST2
orf19.6548	C7_01760C_A	ISU1
orf19.7401	C3_06310C_A	ISW2
orf19.6685	C7_03530C_A	ISY1
orf19.3526	C2_04940C_A	ITR1
orf19.3371	C4_03450C_A	JAB1
orf19.3592	C2_08790W_A	JEM1
orf19.7447	C3_06580W_A	JEN1
orf19.5307	C4_04030W_A	JEN2
orf19.4746	C1_08870C_A	JIP5
orf19.7177	C7_04030C_A	KAP120
orf19.2013	C2_01120W_A	KAR2
orf19.564	C2_09370C_A	KAR3
orf19.3736	CR_02330C_A	KAR4
orf19.103	C6_01010W_A	KAR5
orf19.5011	C1_13740W_A	KAR9
orf19.6563	C7_01620C_A	KCH1
orf19.1007	CR_05260C_A	KCS1
orf19.6092	C1_00140W_A	KEL1
orf19.4969	C1_13420C_A	KEM1
orf19.7020	C7_00940W_A	KEX1
orf19.4755	C1_08990C_A	KEX2
orf19.6165	C3_00880W_A	KGD1
orf19.6126	CR_07420W_A	KGD2
orf19.191	C2_04760W_A	KIC1
orf19.7510	CR_00260W_A	KIN2
orf19.6239	C1_06710W_A	KIN28
orf19.5325	C2_10530C_A	KIN3
orf19.712	CR_06540W_A	KIP1
orf19.1747	C2_10310C_A	KIP2
orf19.7353	C3_05720C_A	KIP3
orf19.5265	C1_12010C_A	KIP4
orf19.4084	C2_09230C_A	KIS1
orf19.4997	C1_13610C_A	KIS2
orf19.4979	C1_13470W_A	KNS1
orf19.418	C1_05460W_A	KOG1
orf19.4377	CR_03790C_A	KRE1
orf19.2183	C2_08000C_A	KRE30
orf19.290	C3_02960C_A	KRE5
orf19.7363	C3_05830W_A	KRE6
orf19.942	C5_00470C_A	KRE62
orf19.5861	C3_04180W_A	KRE9
orf19.661	C1_11420W_A	KRR1
orf19.6749	C3_07410C_A	KRS1
orf19.4432	C1_07380C_A	KSP1
orf19.6131	CR_07380C_A	KSR1
orf19.6873.1	C2_05620W_A	KTI11
orf19.2385	CR_03370C_A	KTI12
orf19.4494	C2_04560W_A	KTR2
orf19.4475	C1_04000C_A	KTR4
orf19.2774	C4_02290W_A	LAB5
orf19.7354	C3_05730C_A	LAC1
orf19.3249	CR_01060W_A	LAG1
orf19.539	CR_04480C_A	LAP3
orf19.6671	C5_03590W_A	LAP4
orf19.1628	C3_02170C_A	LAP41
orf19.4120	C2_06000W_A	LAS1
orf19.6561	C7_01640W_A	LAT1
orf19.5027	C1_13900C_A	LCB2
orf19.5257	C1_12080W_A	LCB4
orf19.6486	C7_02270W_A	LDG3
orf19.1260	C4_05750C_A	LEA1
orf19.3542	C2_05110W_A	LEM3
orf19.7498	CR_00360C_A	LEU1
orf19.7080	C7_00400W_A	LEU2
orf19.4225	C5_02180C_A	LEU3
orf19.6086	C1_00170W_A	LEU4
orf19.1375	C2_09750W_A	LEU42
orf19.2117	C2_00150W_A	LEU5
orf19.2795	C1_07500C_A	LHP1
orf19.5830	C2_02760W_A	LHS1
orf19.6511	C7_02060W_A	LIG1
orf19.5798	C2_03030W_A	LIG4
orf19.4821	C1_09580C_A	LIP1
orf19.4822	C1_09590C_A	LIP10
orf19.4804	C1_09420W_A	LIP2
orf19.4856	C1_09900W_A	LIP3
orf19.2133	C6_04490W_A	LIP4
orf19.5179	C7_02830C_A	LIP5
orf19.4823	C1_09600C_A	LIP6
orf19.7320	CR_09220C_A	LIP7
orf19.1345	C7_03300C_A	LIP8
orf19.5172	C7_02880C_A	LIP9
orf19.992	C1_10490W_A	LKH1
orf19.5147	C7_03080W_A	LMO1
orf19.6127	CR_07400C_A	LPD1
orf19.771	C1_04740W_A	LPG20
orf19.6544	C7_01780W_A	LPI9
orf19.1881	C2_07480W_A	LPT1
orf19.7489	CR_00440C_A	LRG1
orf19.6018	C1_00870W_A	LRO1
orf19.3358	C1_01690C_A	LSC1
orf19.1860	CR_06760C_A	LSC2
orf19.7509.2	CR_00240W_A	LSM6
orf19.3149	C2_06730W_A	LSP1
orf19.2238	C2_06860W_A	LTE1
orf19.5104	C1_08260C_A	LTP1
orf19.7650	CR_10650W_A	LTV1
orf19.651	CR_05020W_A	LYP1
orf19.1789.1	C4_05320W_A	LYS1
orf19.2525	CR_01400W_A	LYS12
orf19.5548	C6_02750C_A	LYS14
orf19.4778	C1_09200W_A	LYS142
orf19.4776	C1_09180W_A	LYS143
orf19.5380	C3_00750W_A	LYS144
orf19.2970	C1_02820W_A	LYS2
orf19.772	C1_04730C_A	LYS21
orf19.4506	C2_04460W_A	LYS22
orf19.3846	C4_04410C_A	LYS4
orf19.6304	CR_04890W_A	LYS5
orf19.7448	C3_06590W_A	LYS9
orf19.7068	C7_00510W_A	MAC1
orf19.1040	C1_04080W_A	MAD2
orf19.3419	C6_01670W_A	MAE1
orf19.2173	C2_08120W_A	MAF1
orf19.5500	C2_06360C_A	MAK16
orf19.5912	C3_04560W_A	MAK21
orf19.4548	C1_01770W_A	MAK32
orf19.3540	C2_05090W_A	MAK5
orf19.7668	CR_10790W_A	MAL2
orf19.3981	C5_04930C_A	MAL31
orf19.7187	C7_03930C_A	MAM33
orf19.3026	C1_03300C_A	MAS1
orf19.6295	C5_01640W_A	MAS2
orf19.3294	C1_01060W_A	MBF1
orf19.5855	C3_04110C_A	MBP1
orf19.5995	C3_05190C_A	MCA1
orf19.7634	CR_10540C_A	MCD1
orf19.5244	C1_12200W_A	MCD4
orf19.2570	CR_01740W_A	MCI4
orf19.7025	C7_00890C_A	MCM1
orf19.4354	CR_03830C_A	MCM2
orf19.1901	C2_07350W_A	MCM3
orf19.2611	CR_02110W_A	MCM6
orf19.3507	C6_02040W_A	MCR1
orf19.6643	CR_05690W_A	MCT1
orf19.4983	C1_13520C_A	MCU1
orf19.7239	C1_14290C_A	MDG1
orf19.7481	CR_00540C_A	MDH1
orf19.4602	C4_01900C_A	MDH1-1
orf19.5323	C2_10480W_A	MDH1-3
orf19.6672	C5_03600W_A	MDJ1
orf19.3574	C2_05450C_A	MDJ2
orf19.2615	CR_02150W_A	MDL1
orf19.5599	C6_03140C_A	MDL2
orf19.184	C2_04800C_A	MDM10
orf19.6900	C7_01180W_A	MDM12
orf19.1826	C1_06230C_A	MDM34
orf19.4697	C4_00970C_A	MDN1
orf19.5604	C6_03170C_A	MDR1
orf19.6760	C3_07320W_A	MDS3
orf19.5919	C3_04610W_A	MEA1
orf19.1283	C5_04060C_A	MEC1
orf19.5485	C2_06220C_A	MEC3
orf19.826	C2_03980C_A	MED1
orf19.5268	C1_11980W_A	MED10
orf19.6909	C7_01290W_A	MED11
orf19.4348	C5_03160W_A	MED14
orf19.5105	C1_08270C_A	MED15
orf19.1343	C7_03320C_A	MED16
